SIMULATED EQUIVALENT  """OBSERVED VALUE"""  """OBSERVATION NAME"""
53  46  w10_04262007
53  46  w10_05312007
53  46  w10_06282007
53  45  w10_07262007
53  46  w10_08302007
53  46  w10_09272007
53  46  w10_10252007
53  46  w10_11292007
53  46  w10_12272007
53  47  w10_01312008
53  47  w10_02212008
53  46  w10_03272008
53  46  w10_04242008
53  46  w10_05292008
53  46  w10_06262008
53  46  w10_07312008
53  46  w10_08282008
53  46  w10_09252008
53  46  w10_10302008
53  47  w10_11262008
53  47  w10_12182008
53  46  w10_01292009
53  47  w10_02262009
53  47  w10_03262009
53  46  w10_04302009
53  46  w10_05282009
53  46  w10_06252009
53  46  w10_07302009
53  46  w10_08272009
53  46  w10_09242009
53  47  w10_10292009
53  46  w10_11252009
53  47  w10_12312009
53  47  w10_01282010
53  43  w10_02252010
54  46  w10_03252010
53  47  w10_04292010
53  47  w10_05282010
53  47  w10_06242010
53  47  w10_07292010
53  46  w10_08262010
53  46  w10_09302010
53  46  w10_10282010
53  46  w10_11242010
53  47  w10_12302010
53  47  w10_01272011
53  47  w10_02242011
53  47  w10_03312011
53  47  w10_04282011
53  47  w10_05262011
53  47  w10_06302011
53  47  w10_07282011
53  47  w10_08252011
53  47  w10_09292011
53  47  w10_10272011
52  47  w10_11232011
53  46  w10_12152011
52  47  w10_01262012
52  46  w10_02232012
52  41  w10_03292012
52  42  w10_04262012
52  46  w10_05302012
52  46  w10_06282012
52  46  w10_07262012
51  46  w10_08302012
51  46  w10_09272012
51  46  w10_10252012
